"id","entidad_federativa","municipio"
"13000","09","283"
"13009","09","283"
"13010","09","283"
"13020","09","283"
"13030","09","283"
"13040","09","283"
"13050","09","283"
"13060","09","283"
"13063","09","283"
"13070","09","283"
"13080","09","283"
"13090","09","283"
"13093","09","283"
"13094","09","283"
"13099","09","283"
"13100","09","283"
"13110","09","283"
"13119","09","283"
"13120","09","283"
"13123","09","283"
"13129","09","283"
"13150","09","283"
"13180","09","283"
"13200","09","283"
"13209","09","283"
"13210","09","283"
"13219","09","283"
"13220","09","283"
"13229","09","283"
"13230","09","283"
"13250","09","283"
"13270","09","283"
"13273","09","283"
"13278","09","283"
"13280","09","283"
"13300","09","283"
"13310","09","283"
"13315","09","283"
"13316","09","283"
"13317","09","283"
"13318","09","283"
"13319","09","283"
"13360","09","283"
"13363","09","283"
"13400","09","283"
"13410","09","283"
"13419","09","283"
"13420","09","283"
"13429","09","283"
"13430","09","283"
"13440","09","283"
"13450","09","283"
"13460","09","283"
"13508","09","283"
"13509","09","283"
"13510","09","283"
"13520","09","283"
"13529","09","283"
"13530","09","283"
"13540","09","283"
"13545","09","283"
"13546","09","283"
"13549","09","283"
"13550","09","283"
"13559","09","283"
"13600","09","283"
"13610","09","283"
"13625","09","283"
"13630","09","283"
"13640","09","283"
"13700","09","283"
"14000","09","284"
"14009","09","284"
"14010","09","284"
"14017","09","284"
"14020","09","284"
"14030","09","284"
"14038","09","284"
"14039","09","284"
"14040","09","284"
"14049","09","284"
"14050","09","284"
"14060","09","284"
"14070","09","284"
"14080","09","284"
"14090","09","284"
"14098","09","284"
"14100","09","284"
"14108","09","284"
"14110","09","284"
"14120","09","284"
"14129","09","284"
"14130","09","284"
"14140","09","284"
"14141","09","284"
"14148","09","284"
"14149","09","284"
"14150","09","284"
"14160","09","284"
"14200","09","284"
"14208","09","284"
"14209","09","284"
"14210","09","284"
"14219","09","284"
"14220","09","284"
"14230","09","284"
"14239","09","284"
"14240","09","284"
"14248","09","284"
"14250","09","284"
"14260","09","284"
"14266","09","284"
"14267","09","284"
"14268","09","284"
"14269","09","284"
"14270","09","284"
"14273","09","284"
"14275","09","284"
"14276","09","284"
"14300","09","284"
"14307","09","284"
"14308","09","284"
"14309","09","284"
"14310","09","284"
"14320","09","284"
"14324","09","284"
"14325","09","284"
"14326","09","284"
"14327","09","284"
"14328","09","284"
"14329","09","284"
"14330","09","284"
"14334","09","284"
"14335","09","284"
"14336","09","284"
"14337","09","284"
"14338","09","284"
"14339","09","284"
"14340","09","284"
"14350","09","284"
"14356","09","284"
"14357","09","284"
"14358","09","284"
"14360","09","284"
"14370","09","284"
"14376","09","284"
"14377","09","284"
"14378","09","284"
"14380","09","284"
"14386","09","284"
"14387","09","284"
"14388","09","284"
"14389","09","284"
"14390","09","284"
"14399","09","284"
"14400","09","284"
"14406","09","284"
"14408","09","284"
"14409","09","284"
"14410","09","284"
"14420","09","284"
"14426","09","284"
"14427","09","284"
"14428","09","284"
"14429","09","284"
"14430","09","284"
"14438","09","284"
"14439","09","284"
"14440","09","284"
"14449","09","284"
"14450","09","284"
"14456","09","284"
"14460","09","284"
"14470","09","284"
"14476","09","284"
"14479","09","284"
"14480","09","284"
"14490","09","284"
"14500","09","284"
"14520","09","284"
"14529","09","284"
"14550","09","284"
"14600","09","284"
"14608","09","284"
"14609","09","284"
"14610","09","284"
"14620","09","284"
"14629","09","284"
"14630","09","284"
"14639","09","284"
"14640","09","284"
"14643","09","284"
"14646","09","284"
"14647","09","284"
"14650","09","284"
"14651","09","284"
"14653","09","284"
"14654","09","284"
"14655","09","284"
"14657","09","284"
"14658","09","284"
"14659","09","284"
"14700","09","284"
"14710","09","284"
"14720","09","284"
"14730","09","284"
"14734","09","284"
"14735","09","284"
"14737","09","284"
"14738","09","284"
"14739","09","284"
"14740","09","284"
"14748","09","284"
"14749","09","284"
"14750","09","284"
"14760","09","284"
"14780","09","284"
"14790","09","284"
"14900","09","284"
"15000","09","289"
"15010","09","289"
"15020","09","289"
"15100","09","289"
"15120","09","289"
"15200","09","289"
"15210","09","289"
"15220","09","289"
